Dataset,Precision,Recall,Accuracy,F1,Runtime,knc__algorithm,knc__leaf_size,knc__metric,knc__metric_params,knc__n_neighbors,knc__p,knc__weights
fc_valid_lb_std,0.9299951613154979,0.9431902638424378,0.9299951613154979,0.9005432974830913,989.1373097896576,ball_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_std,0.9323227276985044,0.9432271841054684,0.9323227276985044,0.9036088319658462,1001.3358471393585,ball_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1,0.9313160647649382,0.9480997901608766,0.9313160647649382,0.9023811108891996,1076.3383378982544,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1,0.9303709488481062,0.9432769202157337,0.9303709488481062,0.9010081271927878,1090.7186162471771,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1,0.9313312093953023,0.9470287836583101,0.9313312093953023,0.9027104768226574,1057.3341720104218,kd_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-10,0.930029200043722,0.9441054543760772,0.930029200043722,0.9004642484284413,983.1755180358887,ball_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-10,0.9289950062421972,0.936875377678613,0.9289950062421972,0.8985733392777528,927.0851936340332,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-10,0.933061581470896,0.9475617126121519,0.933061581470896,0.9048654887685341,909.2020213603973,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-100,0.9286773081183979,0.9318919922056231,0.9286773081183979,0.8978387680754532,661.2773389816284,ball_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-100,0.9288958960990306,0.9307234517388878,0.9288958960990306,0.8978493417954296,655.7961130142212,ball_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-100,0.9300938431991006,0.9345933615753457,0.9300938431991006,0.8996840619328239,629.8102874755859,kd_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1000,0.9197664798713766,0.9205328861561394,0.9197664798713766,0.88491850259717,716.6030254364014,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1000,0.9209404711723105,0.9092680211522405,0.9209404711723105,0.8856058552453241,556.3287777900696,ball_tree,30,minkowski,None,5,2,uniform
fc_valid_lb_mm_0-1000,0.9218347362996049,0.922933121465626,0.9218347362996049,0.8875306172894991,736.8806645870209,auto,30,minkowski,None,15,2,uniform
