Dataset,Precision,Recall,Accuracy,F1,Runtime,xbc__objective,xbc__use_label_encoder,xbc__base_score,xbc__booster,xbc__colsample_bylevel,xbc__colsample_bynode,xbc__colsample_bytree,xbc__enable_categorical,xbc__gamma,xbc__gpu_id,xbc__importance_type,xbc__interaction_constraints,xbc__learning_rate,xbc__max_delta_step,xbc__max_depth,xbc__min_child_weight,xbc__missing,xbc__monotone_constraints,xbc__n_estimators,xbc__n_jobs,xbc__num_parallel_tree,xbc__predictor,xbc__random_state,xbc__reg_alpha,xbc__reg_lambda,xbc__scale_pos_weight,xbc__subsample,xbc__tree_method,xbc__validate_parameters,xbc__verbosity
lr_valid_lb_std,0.9311639979716199,0.9615040982014528,0.9311639979716199,0.9251614229514937,234.11245250701904,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_std,0.9320657777166815,0.9629292831575892,0.9320657777166815,0.9264088603471543,232.75727772712708,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_std,0.9324272144567148,0.9605513123715737,0.9324272144567148,0.9263860455985867,235.73192310333252,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-1,0.9347917543121582,0.9598443338690004,0.9347917543121582,0.9288491264227833,240.28043603897095,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-1,0.934774019548898,0.9594917062760695,0.934774019548898,0.9287001915349081,238.59079909324646,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-1,0.9341917638771969,0.9560980335173883,0.9341917638771969,0.9279703645201628,236.18795013427734,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-10,0.9339128640338432,0.9576594549574852,0.9339128640338432,0.9278797432721541,233.69081711769104,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-10,0.9329778739407053,0.9579870997733744,0.9329778739407053,0.9268566930904594,234.36654901504517,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-10,0.9328898806969359,0.9557933022499951,0.9328898806969359,0.9266696052594559,237.67591905593872,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-100,0.9339774972086232,0.9583107427774765,0.9339774972086232,0.927935951401063,232.4846315383911,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
